id_key,code,sympt,sympt::somali
!00,!00_1,Unusual clinical presentation,bandhigga caafimaad aan caadi ahayn
!00,!00_2,No response to treatment,Dawadii waxba kama tarin/jawaabin
!00,other,Other,Kale
A01,A01_1,Fever,Qandho
A01,A01_2,Headache,Madax xanuun
A01,A01_3,Malaise,Wax xun
A01,A01_4,Cough,Qufac
A01,A01_5,Bradycardia,Wadna garaac hooseeya
A01,A01_6,Splenomegaly,Splenomegaly
A01,A01_7,Rose spot on the trunk,Rose kaalinta on jirridda
A01,A01_8,Gastrointestinal symptoms,calaamadaha caloosha
A01,other,Other,kale
A03,A03_2,Bloody diarrhoea (3 or more abnormally loose or fluid stools in past 24 hours with visible blood),Shuban dhiig (3 ama in ka badan saxarada oo si aan caadi ahayn u jilicsan 24-kii saac ee la soo dhaafay dhiigna muuqda)
A03,A03_3,Fever,Qandho
A03,A03_4,Abdominal cramps,casiraad caloosha/Calool xanuun
A03,A03_5,Rectal pain,xanuun malawadka
A03,A03_6,Seizures,Suuxdimaha
A03,A03_7,Sepsis,sepsis
A03,A03_8,Rectal prolapsed,malawadka barolabsid koord
A03,other,Other,kale
A05,A05_1,Nausea,Lalabbo
A05,A05_2,Vomiting,matag
A05,A05_3,Mucoid diarrhoea (fatty stools),shuban isjiidanaya (saxaro dufan)
A05,A05_4,Other diarrhoea (non-watery and non-bloody type),shuban kale (aan shuban biyood iyo shuban dhiig ahayn)
A05,A05_5,Abdominal pain,Calool xanuun
A05,A05_6,Headache,Madax xanuun
A05,A05_7,Dizziness,Dawakh
A05,A05_8,Loss of consciousness,miyir doorsoon
A05,A05_9,Coma,kooma
A05,A05_10,Thirst,harraad
A05,A05_11,Dehydration,fuuqbax
A05,A05_12,Dyspnoea,dyspnoea/ Naqas
A05,A05_13,Weakness,Tabar
A05,A05_14,Malaise,Wax xun
A05,A05_15,Sore throat,Cune xanuun
A05,A05_16,Fever,Qandho
A05,A05_17,Chills,qarqaryo
A05,A05_18,Gastroenteritis,caloosha
A05,A05_19,Blurred vision,aragga oo isku darsamay
A05,A05_20,Twitching/convulsions,Dubaahin / gariir
A05,A05_21,Tingling/numbness,Jidhidhico / kabuubyo
A05,A05_22,Dilated pupils,Bu'da madow ee isha oo weynaada
A05,A05_23,Constricted pupils,Bu'da madow ee isha oo yaraata
A05,A05_24,Difficulty swallowing/speaking/breathing,Dhibaato wax liqidda / hadlidda / neefsashada
A05,A05_25,Rash,finan
A05,A05_26,Itching of skin,Cuncun maqaarka
A05,other,Other,kale
"A15, A16, A17, A18, A19",A15-19_1,Cough of long duration (>2 weeks),Qufac ee muddo dheer (> 2 toddobaad)
"A15, A16, A17, A18, A19",A15-19_2,Coughing blood,Qufac dhiig
"A15, A16, A17, A18, A19",A15-19_3,Chest pain,Laab xanuun
"A15, A16, A17, A18, A19",A15-19_4,Shortness of breath,Neefta oo kugu adkaata
